1:  A. Natural Disasters
2:  A. The lack of buyer and sellers
3:  A. Price to book ratio
4:  A. Positive Correlation
5:  A. The bear means stock prices are falling
 and the bull means stock prices are rising.
6:  A. Southwestern Energy Company
7:  A. Small Cap
9:  A. You receive a margin call order
8:  A. Oil
10:  A. A rise in stock prices in January
11:  A. 10 Companies
12:  A. Positive Correlation
13:  BREAK
14:  A. x = -60
15:  A. 925
16:  D. 6x² + 3x + 2
17:  B. 2y² + 5y + 3
18:  D. -5/2
19:  D. y > 5/2
20:  B. 2g² + 10g + 9
21:  A. -16√2
22:  B. 3
23:  A. 5x³ + 2x² - x - 1
